sku,name,brand,aliases,category,description,compatibility
DC31-00054D,Drain Pump DC31-00054D,Samsung,,,"Drain Pump Specifications Looking to brighten up your cooking area? This GE Light Bulb adds the perfect amount of light under your range hood, ensuring you can see clearly as you whip up your favorite dishes. When it's functioning correctly, it not only boosts your kitchen comfort, but also enhances your safety?a well-lit stove means less chances of mishaps while handling hot pots and pans. Installing this bulb is simple. Still, do check your range hood's owner?s manual for detailed instructions. There's a sense of satisfaction that comes with fixing something yourself, but we want you to do it right. Need to re-ignite the glow underneath your hood? Trust this GE bulb to do the job. Just like all of GE's high-quality products, it's designed for durability and reliability. It's not just about lighting your kitchen?it's about getting your appliance back to working its best. Please note, this GE bulb is compatible with specific GE range hood models. Make sure to check your appliance's compatibility before purchasing.",
DC31-00187A,Washer Drain Pump DC31-00187A,Samsung,,,Washer Drain Pump Specifications The drain pump removes water from the washer during the drain portion of the cycle.,
DC62-30314K,Water Inlet Valve DC62-30314K,Samsung,water inlet valve|inlet valve|water valve,,Water Valve Specifications One solenoid valve for hot water,
DC66-00470B,Shock Damper Rear DC66-00470B,Samsung,,,"Shock Damper Rear Specifications Got a problematic Whirlpool stove at home? We have the solution for you ? the Whirlpool BURNR-HEAD Base Burner (Large). It's more than just a replacement part; it's the key to getting your appliances back to performing at their best. Why is this part crucial? It's because it guarantees the combat capability of your appliances, contributing significantly to their performance and durability. Plus, its distinctive design fits seamlessly into specific Whirlpool stove models; it?s as if it was tailor-made for your appliance. But remember, while it might look similar to other parts, this base burner has a carefully crafted size and shape, unique to itself. To ensure a perfect fit for your appliance, please double-check the part number on your stove model before ordering. This way, you can feel fully confident that the part will work flawlessly with your specific model. Trust in the BURNR-HEAD Base Burner to revitalize your appliance. After all, it's not just any part - it's a genuine Whirlpool replacement part, promising quality and longevity. So why wait? Let's bring your stove back to life in no time!",
DC97-00252J,Filter Assembly DC97-00252J,Samsung,,,,
DC97-19289F,Washer Drain Pump Assembly DC97-19289F,Samsung,,,"Washer Drain Pump Assembly Specifications Looking to boost the functionality of your LG refrigerator? Then our genuine LG glass shelf is just what you need. Expertly designed, it offers extra room to keep your groceries, leftovers, and favorite drinks organized and within reach. Why is it so important? Your refrigerator is one of the busiest appliances in your home, and a well-fitted, durable shelf can make a world of difference. With this shelf, you'll get more out of your fridge, keeping it clutter-free and making space for all your needs. It will effectively transform your fridge into a more functional, efficient appliance that's as good as new. This LG glass shelf is tailor-made for LG refrigerators, promising a perfect fit and maximum durability. Ready to install it? Simply follow the user manual instructions. Don't forget to be safe ? it's always a good idea to wear work gloves while handling and installing your new shelf. So let's get your LG refrigerator organized, efficient, and working in top shape. Your new LG glass shelf is ready to make that happen. Enjoy the enhanced convenience and functionality it brings to your refrigeration experience.",
DC97-19289H,Drain Pump Assembly DC97-19289H,Samsung,,,"Drain Pump Assembly Specifications Enjoy the optimal functionality of your Samsung washer with the Assembly Pump Drain. This genuine OEM product is crafted by Samsung, ensuring an ideal fit and optimal performance for your washer model. Please ensure that your part number corresponds with your model as slight differences in size and shape may exist. This assembly pump drain comes into play during the drain phase of the washing cycle, efficiently removing water from your washer. It consists of multiple components, so please refer to your parts diagram for a comprehensive parts list. Remember to unplug your washer prior to installation and wear appropriate safety gloves to safeguard your hands.",
DC97-19639A,Outer Tub (Front) DC97-19639A,Samsung,,,,
DD31-00016A,Dishwasher Drain Pump DD31-00016A,Samsung,,,Dishwasher Drain Pump Specifications The drain pump removes the water from the dishwasher tub during the drain phase of the dishwashing cycle. 120V/230,
DD31-00016B,Drain Pump Motor DD31-00016B,Samsung,,,,
